timestamp_utc,language_group,repository_full_name,quality_screen_status,quality_screen_pass,quality_screen_score,quality_screen_threshold,quality_screen_failure_reasons,quality_signal_snapshot_file,source_file,source_record_index
2026-04-28T19:17:25.377230+00:00,JavaScript,davidshimjs/qrcodejs,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\davidshimjs_qrcodejs_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,336
2026-04-28T19:17:26.272359+00:00,JavaScript,yonggekkk/Cloudflare-vless-trojan,screened,False,2,3,quality_check_failed:issue_usage;quality_check_failed:engineering_workflow,data\raw\repo_metadata\yonggekkk_cloudflare_vless_trojan_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,342
2026-04-28T19:17:30.257999+00:00,JavaScript,hackerkid/Mind-Expanding-Books,screened,False,2,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance,data\raw\repo_metadata\hackerkid_mind_expanding_books_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,362
2026-04-28T19:17:31.271211+00:00,JavaScript,krasimir/react-in-patterns,screened,False,2,3,quality_check_failed:issue_usage;quality_check_failed:engineering_workflow,data\raw\repo_metadata\krasimir_react_in_patterns_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,366
2026-04-28T19:17:31.486579+00:00,JavaScript,divamgupta/diffusionbee-stable-diffusion-ui,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\divamgupta_diffusionbee_stable_diffusion_ui_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,367
2026-04-28T19:17:34.471093+00:00,JavaScript,DrkSephy/es6-cheatsheet,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\drksephy_es6_cheatsheet_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,381
2026-04-28T19:17:38.873608+00:00,JavaScript,answershuto/learnVue,screened,False,1,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\answershuto_learnvue_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,404
2026-04-28T19:17:40.185933+00:00,JavaScript,hiteshchoudhary/chai-aur-react,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\hiteshchoudhary_chai_aur_react_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,410
2026-04-28T19:17:41.087384+00:00,JavaScript,amfe/lib-flexible,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\amfe_lib_flexible_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,414
2026-04-28T19:17:43.363035+00:00,JavaScript,bailicangdu/node-elm,screened,False,2,3,quality_check_failed:recent_maintenance;quality_check_failed:engineering_workflow,data\raw\repo_metadata\bailicangdu_node_elm_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,424
2026-04-28T19:17:45.908038+00:00,JavaScript,erikras/react-redux-universal-hot-example,screened,False,2,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance,data\raw\repo_metadata\erikras_react_redux_universal_hot_example_quality_screen_snapshot.json,data\raw\candidate_repos\javascript_candidates_raw.json,436
2026-04-28T19:18:55.222782+00:00,TypeScript,akveo/ngx-admin,screened,False,2,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:recent_maintenance,data\raw\repo_metadata\akveo_ngx_admin_quality_screen_snapshot.json,data\raw\candidate_repos\typescript_candidates_raw.json,221
2026-04-28T19:19:39.862198+00:00,TypeScript,linsa-io/linsa,screened,False,2,3,quality_check_failed:issue_usage;quality_check_failed:engineering_workflow,data\raw\repo_metadata\linsa_io_linsa_quality_screen_snapshot.json,data\raw\candidate_repos\typescript_candidates_raw.json,402
2026-04-28T19:19:47.312585+00:00,TypeScript,nextjs/saas-starter,screened,False,2,3,quality_check_failed:not_manual_review_flagged;quality_check_failed:engineering_workflow,data\raw\repo_metadata\nextjs_saas_starter_quality_screen_snapshot.json,data\raw\candidate_repos\typescript_candidates_raw.json,435
