language_group,manual_review_flag,manual_review_cues,manual_review_fields,id,node_id,name,full_name,html_url,description,language,stargazers_count,watchers_count,forks_count,open_issues_count,archived,fork,has_issues,private,created_at,updated_at,pushed_at,default_branch,owner_login,owner_type,license_spdx_id,source_file,source_record_index
TypeScript,False,,,855528273,R_kgDOMv5TUQ,void,voideditor/void,https://github.com/voideditor/void,,TypeScript,28671,28671,2459,324,False,False,True,False,2024-09-11T02:37:00Z,2026-04-28T18:05:26Z,2026-01-12T09:57:57Z,main,voideditor,Organization,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,186
TypeScript,False,,,100061716,MDEwOlJlcG9zaXRvcnkxMDAwNjE3MTY=,nx,nrwl/nx,https://github.com/nrwl/nx,"The Monorepo Platform that amplifies both developers and AI agents. Nx optimizes your builds, scales your CI, and fixes failed PRs automatically. Ship in half the time.",TypeScript,28616,28616,2714,486,False,False,True,False,2017-08-11T18:50:23Z,2026-04-28T19:01:06Z,2026-04-28T18:56:48Z,master,nrwl,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,187
TypeScript,False,,,295992065,MDEwOlJlcG9zaXRvcnkyOTU5OTIwNjU=,headlessui,tailwindlabs/headlessui,https://github.com/tailwindlabs/headlessui,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",TypeScript,28547,28547,1199,98,False,False,True,False,2020-09-16T09:53:09Z,2026-04-28T16:23:53Z,2026-04-13T16:12:31Z,main,tailwindlabs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,188
TypeScript,False,,,1146738089,R_kgDORFnVqQ,nanoclaw,qwibitai/nanoclaw,https://github.com/qwibitai/nanoclaw,"A lightweight alternative to OpenClaw that runs in containers for security. Connects to WhatsApp, Telegram, Slack, Discord, Gmail and other messaging apps,, has memory, scheduled jobs, and runs directly on Anthropic's Agents SDK",TypeScript,28304,28304,12696,783,False,False,True,False,2026-01-31T15:47:22Z,2026-04-28T19:05:29Z,2026-04-28T14:17:21Z,main,qwibitai,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,189
TypeScript,False,,,119162419,MDEwOlJlcG9zaXRvcnkxMTkxNjI0MTk=,next-auth,nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,Authentication for the Web.,TypeScript,28209,28209,4042,580,False,False,True,False,2018-01-27T12:28:16Z,2026-04-28T15:59:35Z,2026-04-14T21:43:37Z,main,nextauthjs,Organization,ISC,data\raw\candidate_repos\typescript_candidates_raw.json,190
TypeScript,False,,,32215970,MDEwOlJlcG9zaXRvcnkzMjIxNTk3MA==,mobx,mobxjs/mobx,https://github.com/mobxjs/mobx,"Simple, scalable state management.",TypeScript,28185,28185,1796,80,False,False,True,False,2015-03-14T14:31:38Z,2026-04-28T14:51:15Z,2026-03-12T10:50:48Z,main,mobxjs,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,191
TypeScript,False,,,803014189,R_kgDOL90GLQ,better-auth,better-auth/better-auth,https://github.com/better-auth/better-auth,The most comprehensive authentication framework,TypeScript,28043,28043,2484,681,False,False,True,False,2024-05-19T21:40:04Z,2026-04-28T18:01:48Z,2026-04-28T18:08:59Z,main,better-auth,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,192
TypeScript,False,,,23338716,MDEwOlJlcG9zaXRvcnkyMzMzODcxNg==,react-select,JedWatson/react-select,https://github.com/JedWatson/react-select,The Select Component for React.js,TypeScript,28041,28041,4134,486,False,False,True,False,2014-08-26T04:27:45Z,2026-04-27T21:10:05Z,2025-07-11T12:49:28Z,master,JedWatson,User,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,193
TypeScript,False,,,953521037,R_kgDOONWTjQ,next-ai-draw-io,DayuanJiang/next-ai-draw-io,https://github.com/DayuanJiang/next-ai-draw-io,"A next.js web application that integrates AI capabilities with draw.io diagrams. This app allows you to create, modify, and enhance diagrams through natural language commands and AI-assisted visualization.",TypeScript,28002,28002,2951,152,False,False,True,False,2025-03-23T15:03:48Z,2026-04-28T19:01:57Z,2026-04-26T04:35:23Z,main,DayuanJiang,User,Apache-2.0,data\raw\candidate_repos\typescript_candidates_raw.json,194
TypeScript,False,,,762304524,R_kgDOLW_YDA,composio,ComposioHQ/composio,https://github.com/ComposioHQ/composio,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action.",TypeScript,27946,27946,4538,147,False,False,True,False,2024-02-23T13:58:27Z,2026-04-28T18:08:20Z,2026-04-28T18:34:08Z,next,ComposioHQ,Organization,MIT,data\raw\candidate_repos\typescript_candidates_raw.json,195
