repository_full_name,language_group,exclusion_reason,pre_sampling_exclusion_reasons,source_file,source_record_index
jaredhanson/passport,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,161
tailwindlabs/heroicons,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,162
MagicMirrorOrg/MagicMirror,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,163
Gar-b-age/CookLikeHOC,JavaScript,language_threshold_failed,language_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,164
ovity/octotree,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,165
shimohq/chinese-programmer-wrong-pronunciation,JavaScript,commit_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,166
shimohq/chinese-programmer-wrong-pronunciation,JavaScript,closed_issue_threshold_failed,commit_threshold_failed;closed_issue_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,166
chalk/chalk,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,167
benweet/stackedit,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,170
benweet/stackedit,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,170
balderdashy/sails,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,172
vuejs/vuepress,JavaScript,language_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,173
vuejs/vuepress,JavaScript,commit_threshold_failed,language_threshold_failed;commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,173
websockets/ws,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,174
knex/knex,JavaScript,commit_threshold_failed,commit_threshold_failed,data\interim\enriched_candidates\candidate_enrichment_results.csv,175
